timestamp,channel,value,label
2024-01-01 00:00:00.000000000,Fp1,21.64319249999193,background
2024-01-01 00:00:00.000000000,F4,-148.94469199903438,background
2024-01-01 00:00:00.000000000,F3,-154.59461233531277,background
2024-01-01 00:00:00.000000000,Fp2,112.36577297177622,background
2024-01-01 00:00:00.003906250,F4,-150.60501716195535,background
2024-01-01 00:00:00.003906250,Fp2,122.59114213938757,background
2024-01-01 00:00:00.003906250,F3,-131.66221802539914,background
2024-01-01 00:00:00.003906250,Fp1,8.165306210291508,background
2024-01-01 00:00:00.007812500,Fp1,3.70720014745845,background
2024-01-01 00:00:00.007812500,F4,-136.33722399552752,background
2024-01-01 00:00:00.007812500,Fp2,86.70566438322149,background
2024-01-01 00:00:00.007812500,F3,-116.82523484014517,background
2024-01-01 00:00:00.011718750,F4,-86.53870967287672,background
2024-01-01 00:00:00.011718750,Fp2,10.63209490809676,background
2024-01-01 00:00:00.011718750,Fp1,-10.473896819443452,background
2024-01-01 00:00:00.011718750,F3,-101.53362558677517,background
2024-01-01 00:00:00.015625000,F3,-66.82961718999344,background
2024-01-01 00:00:00.015625000,F4,-55.349239566009615,background
2024-01-01 00:00:00.015625000,Fp2,-44.75440121556234,background
2024-01-01 00:00:00.015625000,Fp1,-50.64369646712391,background
2024-01-01 00:00:00.019531250,Fp2,-87.28698385326074,background
2024-01-01 00:00:00.019531250,Fp1,-95.69782820864884,background
2024-01-01 00:00:00.019531250,F3,-52.391449715141235,background
2024-01-01 00:00:00.019531250,F4,-67.59443756842381,background
2024-01-01 00:00:00.023437500,Fp2,-94.53141730171423,background
2024-01-01 00:00:00.023437500,F3,-17.403700951282886,background
2024-01-01 00:00:00.023437500,F4,-73.8054897981398,background
2024-01-01 00:00:00.023437500,Fp1,-120.68750086822376,background
2024-01-01 00:00:00.027343750,F3,16.36861190188807,background
2024-01-01 00:00:00.027343750,F4,-66.24473053387746,background
2024-01-01 00:00:00.027343750,Fp2,-102.76099417701377,background
2024-01-01 00:00:00.027343750,Fp1,-119.99819908857492,background
